project_id,project_name,sector,requested_mw,status_simple,status_official,in_service_year,submission_year,owner_raw,owner_tentative,owner_display,city,county,latitude,longitude,source_url,source_doc,notes
P011,Riot Platforms Rockdale Mine,Crypto Mining,700,operational,Observed Energized,2024,2022,Riot Platforms Inc,false,Riot Platforms,Rockdale,Milam,30.6543,-97.0020,https://www.texasobserver.org/crypto-energy-grid-texas-bitcoin-water/,Texas Observer Nov 2025,700 MW Bitcoin mine in Milam County; operational; one of largest single crypto sites in ERCOT; Milam County epicenter for Bitcoin mining
P012,Milam County Crypto Mine (unincorp.),Crypto Mining,564,operational,Observed Energized,2024,2022,unknown,true,Unknown Operator*,Thorndale,Milam,30.6100,-97.1800,https://www.texasobserver.org/crypto-energy-grid-texas-bitcoin-water/,Texas Observer Nov 2025,564 MW mine in unincorporated area southeast of Thorndale; operator not publicly identified; ERCOT-tracked large flexible load
P013,Corpus Christi Peak Mining,Crypto Mining,300,under review-advancing,Approved to Energize but Not Operational,2025,2023,Peak Mining / Elektron Energy,true,Peak Mining (Elektron)*,Corpus Christi,Nueces,27.8006,-97.3964,https://www.texasobserver.org/crypto-energy-grid-texas-bitcoin-water/,Texas Observer Nov 2025,Peak Mining acquired from Bootstrap Dec 2023; sold to Elektron Energy (Nigeria) Sep 2025; planned 300 MW; only one of two proposed Corpus sites built
P014,CyrusOne / Calpine DFW10 Whitney,AI / Data Center,190,under review-advancing,Planning Studies Approved,2026,2024,CyrusOne / Calpine,false,CyrusOne / Calpine,Whitney,Hill,31.9371,-97.3642,https://servercountry.org/data/states/texas/,ServerCountry.org 2026,$1.2B investment; co-located with Calpine power; Hill County near Lake Whitney; ECP & KKR also invested
P015,ECP / KKR Bosque County Campus,AI / Data Center,190,under review-advancing,Planning Studies Approved,2026,2024,Energy Capital Partners / KKR,false,ECP / KKR,Whitney,Bosque,31.9500,-97.3500,https://servercountry.org/data/states/texas/,ServerCountry.org 2026,$4B investment; near Lake Whitney; co-located energy infrastructure approach
P016,Vantage Data Centers Frontier Campus,AI / Data Center,1400,under review-advancing,Under ERCOT Review,2028,2025,Vantage Data Centers,false,Vantage Data Centers,unknown,unknown,31.5000,-97.0000,https://servercountry.org/data/states/texas/,ServerCountry.org 2026,$25B planned investment; 1.4 GW capacity; exact location not publicly confirmed; coordinates are approximate centroid; status based on under-construction reports
P017,MSB Global Sulphur Springs AI Campus,AI / Data Center,3000,under review-advancing,No Studies Submitted,2028,2025,MSB Global / Bloom Energy,true,MSB Global*,Sulphur Springs,Hopkins,33.1384,-95.6052,https://www.fortworthpulse.com/p/from-500b-openai-stargate-texas-launch-to-30-building-sulphur-springs-ai-campus-data-center-boom-str,Fort Worth Pulse Oct 2025,30 buildings x 100MW each; former Thermo coal mine; Phase 1 (800 MW) targeted Sep 2026; Bloom Energy fuel cells; 1677-acre site; immersion-cooled Nvidia GB300 systems
P018,GW Ranch West Texas AI Campus,AI / Data Center,7650,under review-advancing,No Studies Submitted,2027,2025,unknown,true,Unknown Developer*,Odessa,Ector,31.8457,-102.3676,https://www.instagram.com/p/DUQl9-ADQWZ/,Instagram Feb 2026,8000+ acres near Odessa/Fort Stockton; Texas air permits approved; up to 7.65 GW natural gas; largest permitted US data center campus; off-grid natural gas primary; 2027 earliest power online
P019,Amazon DeSoto Data Center,AI / Data Center,150,under review-advancing,Planning Studies Approved,2026,2024,Amazon Web Services,false,Amazon (AWS),DeSoto,Dallas,32.5896,-96.8559,https://servercountry.org/data/states/texas/,ServerCountry.org 2026,AWS expansion in Dallas suburb; part of broader AWS Texas footprint
P020,CoreWeave / Dell Taylor Campus,AI / Data Center,60,under review-advancing,Approved to Energize but Not Operational,2026,2024,CoreWeave / Dell Technologies,true,CoreWeave / Dell*,Taylor,Williamson,30.5702,-97.4097,https://www.linkedin.com/posts/blueprint-data-centers_datacenters-texas-ai-activity-7445150440129896449-kxhe,Blueprint Data Centers LinkedIn Apr 2026,60 MW; Taylor TX near Samsung $44B chip complex; power delivery beginning 2026; Blueprint site
P021,Blueprint Georgetown Campus,AI / Data Center,25,under review-advancing,Approved to Energize but Not Operational,2026,2024,Blueprint Data Centers,false,Blueprint Data Centers,Georgetown,Williamson,30.6332,-97.6779,https://www.linkedin.com/posts/blueprint-data-centers_datacenters-texas-ai-activity-7445150440129896449-kxhe,Blueprint Data Centers LinkedIn Apr 2026,25 MW; Q4 2026 power delivery; city-approved utility-secured; Austin-San Antonio corridor
P022,DataBank DFW Campus,AI / Data Center,150,operational,Observed Energized,2024,2023,DataBank Holdings,false,DataBank,Irving,Dallas,32.8140,-96.9489,https://www.engieresources.com/market-insight/texas-data-centers-the-new-large-load-shaping-ercot/,ENGIE Resources Mar 2026,Operating colocation campus in DFW; DataBank among major DFW operators; 150 MW estimated based on reported DFW colocation capacity share
P023,Compass Datacenters Midlothian,AI / Data Center,200,under review-advancing,Planning Studies Approved,2026,2024,Compass Datacenters,false,Compass Datacenters,Midlothian,Ellis,32.4723,-96.9800,https://therealdeal.com/texas/2025/12/10/google-to-build-880-million-data-center-outside-dallas/,The Real Deal Dec 2025,Midlothian / Ellis County area; cited alongside Google in same market; major DFW south data center corridor
P024,Crow Holdings Central Dallas DC,AI / Data Center,245,under review-advancing,Under ERCOT Review,2027,2025,Crow Holdings,false,Crow Holdings,Dallas,Dallas,32.7767,-96.7970,https://www.youtube.com/watch?v=cA2hjE43FTw,YouTube Mar 2026,245 MW campus in central Dallas area; announced 2025
P025,Hood County Hyperscale Campus,AI / Data Center,1000,under review-advancing,No Studies Submitted,2028,2025,unknown,true,Unknown Developer*,Granbury,Hood,32.4418,-97.7914,https://www.youtube.com/watch?v=cA2hjE43FTw,YouTube Mar 2026,2600-acre site in Hood County; developer not publicly identified; 2025 announcement
P026,Fannin County AI Campus,AI / Data Center,1000,under review-advancing,No Studies Submitted,2030,2025,unknown,true,Unknown Developer*,Savoy,Fannin,33.5987,-96.3641,https://www.youtube.com/watch?v=cA2hjE43FTw,YouTube Mar 2026,1000+ acres in Savoy/Bells area; 24 planned buildings; developer not publicly identified; default 2030 used
P027,DFW 768-Acre Hyperscale Campus,AI / Data Center,1800,under review-advancing,No Studies Submitted,2028,2025,unknown,true,Unknown Developer*,Fort Worth,Tarrant,32.7555,-97.3308,https://www.youtube.com/watch?v=cA2hjE43FTw,YouTube Mar 2026,768-acre hyperscale campus; 24 buildings; ~1.8 GW capacity; developer not identified; Fort Worth area
P028,Data City Texas (near Laredo),AI / Data Center,5000,under review-advancing,No Studies Submitted,2030,2025,Energy Abundance Development Corp,true,Energy Abundance Dev Corp*,Laredo,Webb,27.5034,-99.5075,https://servercountry.org/data/states/texas/,ServerCountry.org 2026,5 GW planned near Laredo; early-stage; developer not widely confirmed; default 2030; highly speculative
P029,Riot Platforms Navarro County Expansion,Crypto Mining,400,under review-advancing,Planning Studies Approved,2026,2024,Riot Platforms Inc,false,Riot Platforms,Corsicana,Navarro,32.0957,-96.4689,https://www.bakerbotts.com/thought-leadership/publications/2023/april/2022-energy-memo_bitcoin-and-large-loads-in-ercot,Baker Botts 2023 / ERCOT TAC,Navarro County expansion; Riot also operates in Milam County; 400 MW estimated additional capacity; approved-advancing based on ERCOT public LFI reporting
P030,West Texas Bitcoin Mining Cluster (Far West),Crypto Mining,500,operational,Observed Energized,2024,2022,unknown,true,Multiple Operators*,Pecos,Reeves,31.4229,-103.4932,https://www.texasobserver.org/crypto-energy-grid-texas-bitcoin-water/,Texas Observer Nov 2025,Aggregated estimate of Far West Texas crypto mines; multiple operators; ERCOT TAC identified Far West as primary region for crypto-related grid events 2020-2025; 500 MW is conservative aggregate
